City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Atar,MR,89.29,broken clouds,20.5169,-13.0499,Oumou Elghoura
374,Joetsu,JP,36.36,overcast clouds,37.1483,138.2364,Joetsu Sun Plaza Hotel
375,Xining,CN,14.0,scattered clouds,36.6167,101.7667,Super Leisure Hotel
377,Virginia Beach,US,50.04,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
379,Black River,JM,82.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
380,Nizwa,OM,72.43,clear sky,22.9333,57.5333,Orient Apartments
382,Pathein,MM,64.89,clear sky,16.7833,94.7333,Pathein Hotel
383,Bloomfield,US,45.18,overcast clouds,40.8068,-74.1854,Saira arcos
384,Cortez,US,33.42,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
385,Plaisance-Du-Touch,FR,52.14,overcast clouds,43.5657,1.2975,Les Pins Galants Hotel Résidence Et Séminaires
388,Clinton,US,34.95,snow,42.587,-82.9199,River's Edge
389,Palmer,US,43.83,overcast clouds,42.1584,-72.3287,Wedgewood Motel
390,Zhifang,CN,38.75,overcast clouds,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
393,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589,Airbnb rooms
394,Dalbandin,PK,51.66,clear sky,28.8947,64.4101,Gidaan Guest House
395,Aswan,EG,64.56,clear sky,24.0934,32.907,Nuba Nile
396,Itarema,BR,86.67,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
397,Sao Filipe,CV,74.52,clear sky,14.8961,-24.4956,Hotel Xaguate
398,Sikonge,TZ,66.83,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
400,Ulcinj,ME,53.51,clear sky,41.9294,19.2244,Hotel Mediteran
401,Zhongshu,CN,35.19,overcast clouds,24.5167,103.7667,Xintianlong Hotel
402,Vila,PT,55.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
403,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
404,Naze,JP,55.92,overcast clouds,28.3667,129.4833,Shishime Hotel
405,Berlevag,NO,19.35,broken clouds,70.8578,29.0864,Kvitbrakka
407,Rockland,US,43.97,overcast clouds,41.1668,-74.0496,National Camp Association
408,Florianopolis,BR,87.26,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
